NExScI Disposition,KOI Name,Kepler Name,Planet Radius,Stellar Radius,Metallicity,Stellar Mass
CONFIRMED,K00718.03,Kepler-219 d,3.550,1.495,0.260,1.179
CONFIRMED,K03246.01,Kepler-1446 b,0.780,0.726,0.100,0.814
FALSE POSITIVE,K00591.01,,0.890,0.863,-0.080,0.960
FALSE POSITIVE,K03614.01,,60.350,1.837,0.160,0.940
CONFIRMED,K01846.01,Kepler-976 b,3.790,0.800,0.020,0.891
CONFIRMED,K02732.01,Kepler-403 b,1.380,1.499,0.240,1.282
CONFIRMED,K02732.02,Kepler-403 d,1.460,1.499,0.240,1.282
CONFIRMED,K02732.03,Kepler-403 c,2.070,1.499,0.240,1.282
CANDIDATE,K02732.04,,1.130,1.499,0.240,1.282
CONFIRMED,K01606.01,Kepler-905 b,1.400,0.858,0.180,0.961
FALSE POSITIVE,K02464.01,,0.720,0.832,0.020,0.781
FALSE POSITIVE,K03584.01,,50.310,0.922,0.020,0.987
CONFIRMED,K01955.01,Kepler-342 b,2.470,1.369,0.140,1.247
CONFIRMED,K01955.02,Kepler-342 d,2.800,1.369,0.140,1.247
CONFIRMED,K01955.03,Kepler-342 e,1.180,1.369,0.140,1.247
CONFIRMED,K01955.04,Kepler-342 c,2.760,1.369,0.140,1.247
FALSE POSITIVE,K03906.01,,26.220,1.107,0.210,1.200
CONFIRMED,K02660.01,Kepler-1307 b,2.390,1.065,-0.160,1.049
CANDIDATE,K04575.01,,1.980,1.699,0.160,1.306
FALSE POSITIVE,K00328.01,,30.030,1.119,-0.100,0.928
CONFIRMED,K01717.01,Kepler-936 b,2.430,1.171,0.380,1.034
FALSE POSITIVE,K01594.01,,1.820,0.962,-0.220,1.036
CANDIDATE,K02579.01,,1.530,1.235,0.160,1.090
CANDIDATE,K02579.02,,1.660,1.235,0.160,1.090
CANDIDATE,K02579.03,,1.600,1.235,0.160,1.090
FALSE POSITIVE,K03755.01,,39.160,0.764,0.060,0.755
FALSE POSITIVE,K05728.01,,19.470,1.000,0.000,1.000
CONFIRMED,K01718.01,Kepler-937 b,3.390,1.080,-0.300,0.964
CONFIRMED,K01718.02,Kepler-937 c,2.140,1.080,-0.300,0.964
CONFIRMED,K04189.01,Kepler-1562 b,5.380,1.299,-0.040,1.165
CANDIDATE,K04484.01,,0.980,1.072,-0.180,1.117
FALSE POSITIVE,K01579.01,,49.340,1.930,-0.060,1.633
CANDIDATE,K02803.01,,0.530,0.936,0.240,1.022
FALSE POSITIVE,K04108.01,,0.810,0.620,-1.000,0.614
FALSE POSITIVE,K03254.01,,0.460,0.998,0.140,0.979
FALSE POSITIVE,K07243.01,,0.630,0.828,0.260,0.796
FALSE POSITIVE,K02867.01,,0.400,0.714,-0.060,0.800
FALSE POSITIVE,K02867.02,,0.340,0.714,-0.060,0.800
FALSE POSITIVE,K07244.01,,0.960,1.681,-0.400,1.148
FALSE POSITIVE,K07971.01,,0.690,1.935,0.210,1.910
FALSE POSITIVE,K03979.01,,1.360,1.004,-0.400,0.946
FALSE POSITIVE,K04090.01,,1.230,0.999,-0.040,1.077
FALSE POSITIVE,K07972.01,,0.590,0.887,-0.440,0.930
FALSE POSITIVE,K01559.01,,1.400,0.609,-0.400,0.621
FALSE POSITIVE,K04181.01,,0.970,0.950,-0.180,1.031
FALSE POSITIVE,K07973.01,,,,,
FALSE POSITIVE,K03135.01,,24.290,0.863,-0.080,0.960
FALSE POSITIVE,K01554.01,,27.040,0.878,-0.300,0.964
FALSE POSITIVE,K07245.01,,28.370,16.486,-0.500,2.700
FALSE POSITIVE,K03955.01,,30.040,0.972,-0.080,1.053
FALSE POSITIVE,K07246.01,,16.030,12.581,-0.220,1.209
FALSE POSITIVE,K08190.01,,33.690,0.958,-0.080,1.043
FALSE POSITIVE,K01719.01,,2.160,1.602,-0.100,1.195
FALSE POSITIVE,K03064.01,,29.100,0.967,-0.140,1.045
FALSE POSITIVE,K05729.01,,0.970,0.881,0.210,0.835
FALSE POSITIVE,K07247.01,,0.670,0.763,-0.160,0.843
FALSE POSITIVE,K07248.01,,0.840,0.997,-0.080,1.072
FALSE POSITIVE,K05730.01,,0.970,0.967,-0.140,1.045
FALSE POSITIVE,K07974.01,,0.920,1.095,-0.060,1.143
FALSE POSITIVE,K07975.01,,1.140,1.038,-0.060,1.100
FALSE POSITIVE,K04439.01,,15.890,0.951,-0.140,1.027
FALSE POSITIVE,K01556.01,,40.180,0.959,-0.300,0.982
CONFIRMED,K02135.01,Kepler-361 c,2.470,1.267,-0.040,1.085
CANDIDATE,K02135.02,,1.390,1.267,-0.040,1.085
CONFIRMED,K02135.03,Kepler-361 b,1.340,1.267,-0.040,1.085
CANDIDATE,K00145.01,,39.000,7.119,0.070,2.150
FALSE POSITIVE,K07249.01,,28.970,1.159,-0.160,1.181
CANDIDATE,K07976.01,,1.210,0.967,-0.200,0.979
CONFIRMED,K03127.01,Kepler-1436 b,2.070,1.385,0.140,1.056
FALSE POSITIVE,K03427.01,,50.200,0.861,-0.300,0.950
FALSE POSITIVE,K05731.01,,52.420,16.114,-0.340,1.973
CONFIRMED,K01779.01,Kepler-318 b,3.860,0.939,0.210,1.051
CONFIRMED,K01779.02,Kepler-318 c,3.480,0.939,0.210,1.051
CANDIDATE,K07252.01,,1.170,1.054,-0.340,0.980
CANDIDATE,K05732.01,,1.520,0.795,-0.500,0.898
FALSE POSITIVE,K04897.01,,0.950,0.728,-0.660,0.695
FALSE POSITIVE,K04324.01,,1.350,2.179,-0.440,1.160
FALSE POSITIVE,K05733.01,,96.280,2.123,0.070,2.122
FALSE POSITIVE,K02429.01,,17.940,0.729,-0.560,0.816
FALSE POSITIVE,K07977.01,,88.910,1.365,-0.400,0.908
FALSE POSITIVE,K07253.01,,200.240,3.682,-0.040,2.068
FALSE POSITIVE,K07254.01,,28.690,0.700,-0.060,0.767
FALSE POSITIVE,K01587.01,,29.020,0.789,-0.080,0.808
FALSE POSITIVE,K07256.01,,20.510,0.573,-0.560,0.561
FALSE POSITIVE,K05735.01,,2.200,2.830,-0.140,1.485
CANDIDATE,K04885.01,,2.670,1.101,0.080,0.898
CANDIDATE,K05736.01,,2.220,1.289,0.080,0.988
CANDIDATE,K04431.01,,0.970,1.235,0.020,1.090
FALSE POSITIVE,K07257.01,,88.520,1.526,-0.120,1.283
CANDIDATE,K07978.01,,1.660,2.219,0.000,1.398
FALSE POSITIVE,K01548.01,,11.610,0.666,-0.240,0.717
CONFIRMED,K01584.01,Kepler-898 b,1.440,0.612,-0.060,0.624
FALSE POSITIVE,K05738.01,,50.700,0.768,-0.140,0.849
FALSE POSITIVE,K07979.01,,20.090,38.446,0.120,1.874
FALSE POSITIVE,K05739.01,,23.420,7.417,-0.620,1.347
CONFIRMED,K00013.01,Kepler-13 b,21.420,3.031,0.070,2.466
CONFIRMED,K00528.01,Kepler-178 b,2.880,1.076,0.180,0.886
CONFIRMED,K00528.02,Kepler-178 d,3.290,1.076,0.180,0.886
CONFIRMED,K00528.03,Kepler-178 c,2.990,1.076,0.180,0.886
CANDIDATE,K07258.01,,0.790,1.530,0.120,1.118
FALSE POSITIVE,K02788.01,,0.950,0.812,-0.320,0.900
CANDIDATE,K07259.01,,11.040,0.625,-0.700,0.614
FALSE POSITIVE,K07260.01,,50.230,0.778,-0.220,0.871
FALSE POSITIVE,K07261.01,,71.900,1.472,-0.380,0.890
CONFIRMED,K02285.01,Kepler-1175 b,2.790,0.865,-0.200,0.957
CONFIRMED,K00398.01,Kepler-148 d,8.730,0.838,0.140,0.876
CONFIRMED,K00398.02,Kepler-148 c,3.440,0.838,0.140,0.876
CONFIRMED,K00398.03,Kepler-148 b,1.820,0.838,0.140,0.876
CANDIDATE,K04460.01,,2.020,1.080,0.140,0.913
CANDIDATE,K04647.01,,1.970,1.964,-0.040,1.042
CANDIDATE,K04647.02,,2.080,1.964,-0.040,1.042
FALSE POSITIVE,K03562.01,,44.000,1.062,-0.200,1.058
CONFIRMED,K00719.01,Kepler-220 c,1.800,0.639,-0.260,0.643
CONFIRMED,K00719.02,Kepler-220 d,0.900,0.639,-0.260,0.643
CONFIRMED,K00719.03,Kepler-220 e,1.180,0.639,-0.260,0.643
CONFIRMED,K00719.04,Kepler-220 b,0.860,0.639,-0.260,0.643
FALSE POSITIVE,K07262.01,,1.260,1.560,0.210,1.558
FALSE POSITIVE,K05742.01,,127.250,1.222,-0.420,0.991
FALSE POSITIVE,K00076.01,,10.330,2.909,0.070,1.657
CONFIRMED,K01925.01,Kepler-409 b,1.110,0.888,0.060,0.902
CONFIRMED,K04139.01,Kepler-1557 b,1.380,1.063,-0.080,1.118
FALSE POSITIVE,K03964.01,,36.870,0.578,-0.920,0.574
CANDIDATE,K00592.01,,2.370,1.010,-0.300,0.960
FALSE POSITIVE,K05743.01,,19.390,1.192,0.120,1.179
FALSE POSITIVE,K05744.01,,69.400,1.286,-0.740,0.894
FALSE POSITIVE,K07263.01,,,,,
CANDIDATE,K02677.01,,9.910,1.853,0.340,1.080
CONFIRMED,K00593.01,Kepler-616 b,2.820,0.977,-0.020,1.061
CONFIRMED,K00593.02,Kepler-616 c,3.960,0.977,-0.020,1.061
CANDIDATE,K00593.03,,2.440,0.977,-0.020,1.061
CANDIDATE,K00593.04,,2.680,0.977,-0.020,1.061
FALSE POSITIVE,K07264.01,,1.830,2.234,0.200,1.319
FALSE POSITIVE,K07980.01,,0.620,0.892,0.140,0.821
FALSE POSITIVE,K03051.02,,1.130,1.289,0.160,0.963
FALSE POSITIVE,K03205.01,,0.580,1.081,-0.440,1.097
FALSE POSITIVE,K04195.01,,0.620,0.790,-0.340,0.882
FALSE POSITIVE,K03098.01,,19.880,0.967,-0.140,1.045
FALSE POSITIVE,K07981.01,,0.620,1.157,-0.340,1.133
CONFIRMED,K02748.01,Kepler-1336 b,2.610,1.756,0.000,1.004
CONFIRMED,K02748.02,Kepler-1336 c,2.170,1.756,0.000,1.004
FALSE POSITIVE,K05745.01,,22.860,0.808,-0.060,0.838
FALSE POSITIVE,K08191.01,,1.590,1.336,0.070,0.974
FALSE POSITIVE,K07265.01,,27.380,1.207,0.220,1.112
CANDIDATE,K02299.01,,27.450,1.071,0.210,1.173
FALSE POSITIVE,K01538.01,,53.190,1.567,-0.240,1.061
CONFIRMED,K00720.01,Kepler-221 c,3.100,0.810,-0.040,0.826
CONFIRMED,K00720.02,Kepler-221 d,2.970,0.810,-0.040,0.826
CONFIRMED,K00720.03,Kepler-221 e,3.580,0.810,-0.040,0.826
CONFIRMED,K00720.04,Kepler-221 b,1.660,0.810,-0.040,0.826
FALSE POSITIVE,K02192.01,,1.500,0.784,0.120,0.878
FALSE POSITIVE,K02496.01,,0.910,0.992,-0.060,1.029
CONFIRMED,K00721.01,Kepler-654 b,2.130,1.171,0.000,0.982
FALSE POSITIVE,K02428.01,,2.110,0.883,-0.100,0.796
FALSE POSITIVE,K03558.01,,46.520,0.795,0.070,0.905
CONFIRMED,K00722.01,Kepler-655 b,2.660,1.227,-0.100,1.037
FALSE POSITIVE,K07267.01,,56.230,2.191,-0.020,1.355
CONFIRMED,K01911.01,Kepler-1011 b,3.140,0.929,0.480,1.017
FALSE POSITIVE,K06075.01,,45.870,1.506,-0.060,1.180
CANDIDATE,K03401.01,,1.960,1.195,0.070,0.944
CANDIDATE,K03462.01,,1.880,1.229,0.140,0.914
CANDIDATE,K03462.02,,2.210,1.229,0.140,0.914
CONFIRMED,K01875.01,Kepler-990 b,2.850,1.207,0.140,0.932
CONFIRMED,K01875.02,Kepler-990 c,1.670,1.207,0.140,0.932
FALSE POSITIVE,K00425.01,,14.880,0.965,0.070,1.075
CANDIDATE,K04820.01,,1.480,0.959,-0.060,1.045
FALSE POSITIVE,K07268.01,,124.050,2.057,-0.560,0.993
CONFIRMED,K02018.01,Kepler-1056 b,2.110,0.911,-0.480,0.762
CANDIDATE,K02018.02,,1.140,0.911,-0.480,0.762
FALSE POSITIVE,K01966.01,,0.810,0.916,-0.100,0.908
FALSE POSITIVE,K03382.01,,16.740,0.909,-0.200,0.795
CONFIRMED,K02205.01,Kepler-1140 b,2.780,0.768,-0.080,0.741
FALSE POSITIVE,K02644.01,,1.240,0.767,0.100,0.747
CANDIDATE,K05748.01,,1.190,0.866,0.120,0.808
CONFIRMED,K02832.01,Kepler-1361 b,0.890,0.917,0.140,0.832
CANDIDATE,K03470.01,,1.610,1.158,0.140,1.024
CONFIRMED,K03470.02,Kepler-1509 b,2.000,1.158,0.140,1.024
FALSE POSITIVE,K02621.01,,1.970,1.023,0.070,1.122
FALSE POSITIVE,K07269.01,,98.130,1.924,-0.080,1.436
CONFIRMED,K04146.01,Kepler-1558 b,0.800,0.854,0.080,0.798
CANDIDATE,K04146.02,,0.570,0.854,0.080,0.798
CONFIRMED,K02785.01,Kepler-1344 b,1.780,1.116,-0.080,1.069
CANDIDATE,K07270.01,,1.420,0.953,-0.140,1.036
CANDIDATE,K00959.01,,2.310,0.116,0.000,0.094
FALSE POSITIVE,K05750.01,,1.090,0.782,-0.400,0.872
CONFIRMED,K00723.01,Kepler-222 b,3.360,0.843,0.120,0.945
CONFIRMED,K00723.02,Kepler-222 d,3.630,0.843,0.120,0.945
CONFIRMED,K00723.03,Kepler-222 c,4.710,0.843,0.120,0.945
CANDIDATE,K04519.01,,5.970,2.985,0.340,1.556
CONFIRMED,K01572.01,Kepler-894 b,2.990,0.992,-0.160,1.063
CONFIRMED,K01598.01,Kepler-310 c,3.220,0.839,0.070,0.952
CONFIRMED,K01598.02,Kepler-310 d,2.640,0.839,0.070,0.952
CONFIRMED,K01598.03,Kepler-310 b,1.400,0.839,0.070,0.952
CANDIDATE,K05752.01,,36.190,59.684,-0.260,0.885
FALSE POSITIVE,K00724.01,,2.070,0.983,0.210,1.097
CANDIDATE,K01783.01,,10.520,1.336,0.020,0.996
CANDIDATE,K01783.02,,6.360,1.336,0.020,0.996
CONFIRMED,K01940.01,Kepler-1022 b,1.710,0.586,-0.440,0.573
FALSE POSITIVE,K05753.01,,52.740,0.789,-0.420,0.773
CONFIRMED,K01595.01,Kepler-902 b,3.110,1.169,0.140,0.918
FALSE POSITIVE,K04469.01,,0.680,0.736,-0.080,0.771
FALSE POSITIVE,K05754.01,,167.050,5.443,-0.020,1.589
CONFIRMED,K02309.01,Kepler-1184 b,2.490,1.032,-0.220,1.084
FALSE POSITIVE,K08287.01,,2.250,0.826,-0.020,0.918
CANDIDATE,K07982.01,,3.260,0.955,-0.320,1.025
FALSE POSITIVE,K07271.01,,0.820,0.955,-0.120,1.038
FALSE POSITIVE,K07983.01,,2.180,0.925,-0.220,1.008
CANDIDATE,K01720.01,,3.590,0.831,0.140,0.887
CANDIDATE,K00426.01,,3.840,1.138,-0.140,1.004
CONFIRMED,K02655.01,Kepler-1306 b,1.830,0.961,0.160,0.932
CONFIRMED,K01721.01,Kepler-938 b,3.680,1.433,0.200,0.933
FALSE POSITIVE,K01796.01,,18.480,1.891,-0.560,1.006
CONFIRMED,K00471.01,Kepler-163 c,3.200,1.071,0.160,0.882
CONFIRMED,K00471.02,Kepler-163 b,1.360,1.071,0.160,0.882
CONFIRMED,K00199.01,Kepler-490 b,16.910,1.691,0.140,1.161
FALSE POSITIVE,K00199.02,,2.600,1.691,0.140,1.161
FALSE POSITIVE,K01558.01,,10.680,0.947,-0.300,0.980
CANDIDATE,K07272.01,,1.260,1.199,-0.060,1.219
FALSE POSITIVE,K07273.01,,34.370,0.867,-0.260,0.846
CONFIRMED,K01586.01,Kepler-900 b,1.950,0.761,0.360,0.860
FALSE POSITIVE,K08192.01,,7.860,3.410,-0.160,1.670
FALSE POSITIVE,K05757.01,,1.280,0.780,-0.300,0.730
CONFIRMED,K02409.01,Kepler-1228 b,1.420,0.716,-0.340,0.776
CONFIRMED,K02002.01,Kepler-1046 b,2.050,1.053,0.000,1.023
FALSE POSITIVE,K07274.01,,76.400,1.131,-0.140,1.162
FALSE POSITIVE,K07275.01,,34.030,0.669,-0.640,0.749
FALSE POSITIVE,K06076.01,,35.540,0.998,0.360,1.107
CONFIRMED,K04706.01,Kepler-1620 b,1.310,1.054,-0.180,1.028
CONFIRMED,K02418.01,Kepler-1229 b,1.680,0.463,0.160,0.482
CONFIRMED,K01596.01,Kepler-309 b,0.990,0.496,-0.280,0.518
CONFIRMED,K01596.02,Kepler-309 c,1.870,0.496,-0.280,0.518
CANDIDATE,K08193.01,,3.720,0.855,0.070,0.971
CANDIDATE,K01591.01,,2.830,0.740,-0.240,0.828
CANDIDATE,K01957.01,,29.330,2.037,0.360,1.660
FALSE POSITIVE,K01957.02,,1.800,2.037,0.360,1.660
CONFIRMED,K02493.01,Kepler-1259 b,1.600,0.767,0.070,0.878
CONFIRMED,K01574.01,Kepler-87 b,12.280,1.699,-0.180,0.969
CONFIRMED,K01574.02,Kepler-87 c,6.470,1.699,-0.180,0.969
CANDIDATE,K01574.03,,1.980,1.699,-0.180,0.969
CANDIDATE,K01574.04,,1.790,1.699,-0.180,0.969
FALSE POSITIVE,K03265.01,,48.980,0.897,-0.080,0.992
FALSE POSITIVE,K07276.01,,75.640,1.254,-0.220,1.014
FALSE POSITIVE,K03107.01,,15.950,0.945,-0.380,0.827
FALSE POSITIVE,K07277.01,,1.210,0.817,-0.160,0.913
FALSE POSITIVE,K07984.01,,1.110,1.088,-0.160,0.856
FALSE POSITIVE,K02629.01,,1.820,0.876,-0.140,0.965
FALSE POSITIVE,K01827.01,,155.180,80.307,-0.320,1.585
FALSE POSITIVE,K07278.01,,140.070,2.194,-0.560,1.142
FALSE POSITIVE,K00329.01,,20.800,0.900,-0.260,0.985
FALSE POSITIVE,K03828.01,,27.860,0.892,0.070,1.004
FALSE POSITIVE,K04894.01,,0.800,0.707,-0.300,0.684
FALSE POSITIVE,K01604.01,,15.330,2.758,-0.560,1.209
FALSE POSITIVE,K04835.01,,17.720,0.777,-0.580,0.710
CANDIDATE,K07279.01,,0.930,1.056,0.120,0.875
CONFIRMED,K01608.01,Kepler-311 b,1.660,1.156,-0.100,0.974
CONFIRMED,K01608.02,Kepler-311 c,1.610,1.156,-0.100,0.974
CANDIDATE,K01608.03,,2.050,1.156,-0.100,0.974
CONFIRMED,K03234.01,Kepler-1443 b,0.850,1.239,0.000,1.135
CONFIRMED,K02520.01,Kepler-1265 b,1.750,0.742,0.000,0.724
FALSE POSITIVE,K07280.01,,125.310,2.242,-0.140,1.723
CONFIRMED,K04292.01,Kepler-1583 b,0.590,0.888,0.080,0.939
CONFIRMED,K01888.01,Kepler-1000 b,4.540,1.467,0.440,1.406
CANDIDATE,K02849.01,,1.020,0.900,0.360,1.012
FALSE POSITIVE,K02891.01,,0.920,1.059,-0.220,1.077
FALSE POSITIVE,K00529.01,,2.870,0.803,-0.180,0.899
FALSE POSITIVE,K00725.01,,10.860,0.744,-0.200,0.833
CONFIRMED,K02602.01,Kepler-1287 b,1.580,1.032,0.160,0.941
FALSE POSITIVE,K03573.01,,80.020,1.216,-0.200,1.091
CONFIRMED,K02628.01,Kepler-1297 b,1.270,1.374,0.160,1.068
CANDIDATE,K02764.01,,1.190,0.559,-0.160,0.583
CANDIDATE,K01917.01,,2.970,1.153,0.100,1.041
FALSE POSITIVE,K08194.01,,2.690,2.054,-0.200,1.382
FALSE POSITIVE,K08195.01,,2.130,1.066,-0.220,0.998
CONFIRMED,K01722.01,Kepler-939 b,1.630,0.837,-0.280,0.920
FALSE POSITIVE,K08196.01,,0.800,0.318,-0.100,0.320
CANDIDATE,K05761.01,,1.560,2.034,0.340,1.316
FALSE POSITIVE,K03921.01,,5.190,0.827,-0.180,0.899
CONFIRMED,K04034.01,Kepler-1543 b,6.140,3.530,0.280,1.786
FALSE POSITIVE,K04034.02,,46.440,3.530,0.280,1.786
FALSE POSITIVE,K07985.01,,29.350,0.903,0.140,1.005
FALSE POSITIVE,K03978.01,,22.630,1.012,0.070,1.117
FALSE POSITIVE,K02476.01,,1.010,0.654,-0.040,0.724
CANDIDATE,K05762.01,,1.370,0.798,-0.220,0.892
FALSE POSITIVE,K03627.01,,16.670,0.991,-0.180,1.060
FALSE POSITIVE,K03627.02,,44.860,0.991,-0.180,1.060
FALSE POSITIVE,K07284.01,,40.150,1.262,0.200,1.091
FALSE POSITIVE,K01823.01,,24.810,0.942,0.070,1.054
FALSE POSITIVE,K01823.02,,168.680,0.942,0.070,1.054
FALSE POSITIVE,K07285.01,,0.970,2.041,0.040,1.668
CANDIDATE,K01984.01,,2.670,1.090,0.070,1.174
FALSE POSITIVE,K03839.01,,22.150,0.853,-0.100,0.950
FALSE POSITIVE,K07286.01,,56.150,1.026,-0.260,0.961
CONFIRMED,K02964.01,Kepler-1397 b,1.610,1.126,0.000,1.042
FALSE POSITIVE,K02964.02,,1.210,1.126,0.000,1.042
CANDIDATE,K04755.01,,1.750,0.851,0.160,0.866
CANDIDATE,K01085.01,,0.900,0.509,-0.340,0.535
CANDIDATE,K04451.01,,1.320,0.706,-0.240,0.786
CONFIRMED,K01086.01,Kepler-765 b,2.210,1.017,-0.320,0.939
CONFIRMED,K02926.01,Kepler-1388 b,2.210,0.564,0.210,0.605
CONFIRMED,K02926.02,Kepler-1388 c,2.200,0.564,0.210,0.605
CONFIRMED,K02926.03,Kepler-1388 d,2.380,0.564,0.210,0.605
CONFIRMED,K02926.04,Kepler-1388 e,2.250,0.564,0.210,0.605
CANDIDATE,K02926.05,,3.470,0.564,0.210,0.605
CONFIRMED,K00472.01,Kepler-565 b,3.160,0.843,-0.300,0.930
FALSE POSITIVE,K00021.01,,76.510,2.002,-0.560,1.104
CANDIDATE,K07986.01,,0.720,1.031,-0.040,1.075
FALSE POSITIVE,K07288.01,,30.800,0.526,-1.260,0.530
CONFIRMED,K01909.01,Kepler-334 c,1.490,1.095,-0.020,0.957
CONFIRMED,K01909.02,Kepler-334 b,1.150,1.095,-0.020,0.957
CONFIRMED,K01909.03,Kepler-334 d,1.590,1.095,-0.020,0.957
FALSE POSITIVE,K04675.01,,0.810,0.805,-0.060,0.903
CONFIRMED,K02313.01,Kepler-1186 b,2.140,0.971,0.070,1.083
CANDIDATE,K02056.01,,2.070,0.925,-0.220,1.008
CONFIRMED,K01929.01,Kepler-337 c,1.890,1.472,0.100,1.014
CONFIRMED,K01929.02,Kepler-337 b,1.390,1.472,0.100,1.014
FALSE POSITIVE,K06077.01,,23.510,0.594,-1.040,0.592
CANDIDATE,K04545.01,,0.850,0.788,0.360,0.891
CANDIDATE,K04334.01,,1.100,0.738,-0.080,0.723
FALSE POSITIVE,K05768.01,,1.320,0.799,-0.260,0.751
CANDIDATE,K01082.01,,1.670,0.843,0.180,0.800
CANDIDATE,K01082.02,,1.420,0.843,0.180,0.800
CONFIRMED,K01082.03,Kepler-763 b,1.250,0.843,0.180,0.800
CANDIDATE,K01082.04,,1.450,0.843,0.180,0.800
CANDIDATE,K05769.01,,0.970,1.041,0.200,1.034
FALSE POSITIVE,K07987.01,,1.070,1.041,-0.040,1.104
FALSE POSITIVE,K01084.01,,1.190,0.849,-0.100,0.938
FALSE POSITIVE,K01081.01,,28.150,1.053,0.070,1.150
FALSE POSITIVE,K03952.01,,5.240,0.941,-0.120,0.981
FALSE POSITIVE,K01773.01,,13.830,0.636,-1.040,0.626
CONFIRMED,K01981.01,Kepler-1037 b,1.610,1.002,0.460,0.919
CONFIRMED,K00991.01,Kepler-744 b,1.620,0.933,0.000,0.897
CANDIDATE,K03208.01,,0.560,0.997,-0.080,0.967
FALSE POSITIVE,K07289.01,,58.770,1.168,0.360,1.247
FALSE POSITIVE,K07988.01,,19.300,7.824,0.070,2.190
CANDIDATE,K00473.01,,2.750,0.839,-0.040,0.939
FALSE POSITIVE,K04284.01,,0.850,0.974,-0.500,1.073
FALSE POSITIVE,K07290.01,,108.330,1.921,0.040,1.707
FALSE POSITIVE,K07989.01,,1.050,1.193,0.070,1.260
CONFIRMED,K01083.01,Kepler-764 b,1.520,0.848,-0.200,0.938
CANDIDATE,K01083.02,,0.960,0.848,-0.200,0.938
CANDIDATE,K00726.01,,60.740,1.101,-0.140,1.141
CANDIDATE,K01784.01,,8.800,1.042,0.000,1.034
CONFIRMED,K02097.01,Kepler-1092 b,2.060,1.019,-0.220,1.038
FALSE POSITIVE,K01080.01,,1.350,0.763,-0.360,0.717
CANDIDATE,K07990.01,,1.870,0.818,-0.300,0.907
CANDIDATE,K07291.01,,3.370,2.346,-0.200,1.279
FALSE POSITIVE,K07292.01,,1.400,0.732,-0.500,0.832
CONFIRMED,K01078.01,Kepler-267 b,1.650,0.460,-0.340,0.467
CONFIRMED,K01078.02,Kepler-267 c,2.050,0.460,-0.340,0.467
CONFIRMED,K01078.03,Kepler-267 d,1.870,0.460,-0.340,0.467
FALSE POSITIVE,K04070.01,,1.140,0.825,0.210,0.849
CONFIRMED,K00082.01,Kepler-102 e,2.480,0.741,0.080,0.806
CONFIRMED,K00082.02,Kepler-102 d,1.340,0.741,0.080,0.806
CONFIRMED,K00082.03,Kepler-102 f,0.950,0.741,0.080,0.806
CONFIRMED,K00082.04,Kepler-102 c,0.630,0.741,0.080,0.806
CONFIRMED,K00082.05,Kepler-102 b,0.510,0.741,0.080,0.806
CANDIDATE,K00082.06,,0.730,0.741,0.080,0.806
CONFIRMED,K01870.01,Kepler-989 b,2.440,0.910,0.160,0.831
FALSE POSITIVE,K04843.01,,2.500,1.038,-0.060,1.100
FALSE POSITIVE,K07293.01,,31.980,0.647,-0.780,0.632
FALSE POSITIVE,K05773.01,,1.280,0.849,-0.160,0.904
CANDIDATE,K00427.01,,4.200,0.986,0.160,0.859
CONFIRMED,K00427.02,Kepler-549 b,2.980,0.986,0.160,0.859
CONFIRMED,K00427.03,Kepler-549 c,2.680,0.986,0.160,0.859
FALSE POSITIVE,K02427.01,,1.150,0.788,-0.560,0.716
CANDIDATE,K03007.01,,1.470,0.956,0.100,0.970
CONFIRMED,K01937.01,Kepler-1019 b,1.710,0.737,0.180,0.726
FALSE POSITIVE,K03218.01,,0.590,1.049,-0.220,1.022
FALSE POSITIVE,K05774.01,,96.190,1.619,-0.240,1.320
FALSE POSITIVE,K00727.01,,21.690,0.661,-0.440,0.644
FALSE POSITIVE,K07294.01,,56.940,1.630,-1.100,0.775
CANDIDATE,K07991.01,,3.320,4.163,-0.080,1.517
FALSE POSITIVE,K08197.01,,1.600,1.440,-1.100,0.895
CANDIDATE,K06217.01,,4.440,3.608,-0.860,0.802
FALSE POSITIVE,K02405.01,,25.500,2.082,-0.280,1.480
CONFIRMED,K02212.01,Kepler-1144 b,3.640,1.412,0.140,0.974
FALSE POSITIVE,K08198.01,,2.510,0.699,-0.660,0.668
FALSE POSITIVE,K02283.01,,16.370,0.615,0.080,0.634
FALSE POSITIVE,K07295.01,,86.760,1.391,0.210,1.427
FALSE POSITIVE,K08199.01,,51.640,11.963,-0.440,1.934
CONFIRMED,K02342.01,Kepler-1199 b,1.510,1.525,-0.400,0.899
FALSE POSITIVE,K02342.02,,30.530,1.525,-0.400,0.899
CONFIRMED,K01723.01,Kepler-940 b,3.630,0.997,-0.080,1.072
CONFIRMED,K01724.01,Kepler-941 b,3.290,0.969,-0.200,0.986
FALSE POSITIVE,K07296.01,,4.660,1.837,-0.280,1.383
CANDIDATE,K07992.01,,1.840,0.971,-0.520,1.025
FALSE POSITIVE,K08200.01,,1.130,0.884,0.000,0.984
FALSE POSITIVE,K07297.01,,52.380,0.854,-0.060,0.943
FALSE POSITIVE,K03548.01,,41.750,1.079,-0.360,1.091
FALSE POSITIVE,K07993.01,,117.250,59.437,-0.360,1.467
CANDIDATE,K04613.01,,0.810,0.979,-0.100,0.915
FALSE POSITIVE,K04544.01,,372.860,1.276,0.210,1.334
CANDIDATE,K00728.01,,11.940,1.076,0.070,1.169
